,County_of_Origin,Period,AgeClassDescription,unemployed_number
2225,viana do alentejo,Sep-20 to Jan-21,55-64,43
2226,viana do castelo,Sep-20 to Jan-21,55-64,598
2227,vidigueira,Sep-20 to Jan-21,55-64,60
2228,vieira do minho,Sep-20 to Jan-21,55-64,212
2229,vila de rei,Sep-20 to Jan-21,55-64,18
2230,vila do bispo,Sep-20 to Jan-21,55-64,52
2231,vila do conde,Sep-20 to Jan-21,55-64,770
2232,vila flor,Sep-20 to Jan-21,55-64,82
2233,vila franca de xira,Sep-20 to Jan-21,55-64,1026
2234,vila nova da barquinha,Sep-20 to Jan-21,55-64,26
2235,vila nova de cerveira,Sep-20 to Jan-21,55-64,72
2236,vila nova de famalicão,Sep-20 to Jan-21,55-64,1376
2237,vila nova de foz côa,Sep-20 to Jan-21,55-64,57
2238,vila nova de gaia,Sep-20 to Jan-21,55-64,4961
2239,vila nova de paiva,Sep-20 to Jan-21,55-64,43
2240,vila nova de poiares,Sep-20 to Jan-21,55-64,58
2241,vila pouca de aguiar,Sep-20 to Jan-21,55-64,157
2242,vila real,Sep-20 to Jan-21,55-64,713
2243,vila real de santo antónio,Sep-20 to Jan-21,55-64,191
2244,vila velha de rodão,Sep-20 to Jan-21,55-64,21
2245,vila verde,Sep-20 to Jan-21,55-64,342
2246,vila viçosa,Sep-20 to Jan-21,55-64,48
2247,vimioso,Sep-20 to Jan-21,55-64,40
2248,vinhais,Sep-20 to Jan-21,55-64,99
2249,viseu,Sep-20 to Jan-21,55-64,794
2250,vizela,Sep-20 to Jan-21,55-64,425
2251,vouzela,Sep-20 to Jan-21,55-64,95
2252,águeda,Sep-20 to Jan-21,55-64,282
2253,évora,Sep-20 to Jan-21,55-64,372
2254,ílhavo,Sep-20 to Jan-21,55-64,372
2255,óbidos,Sep-20 to Jan-21,55-64,84
2256,abrantes,Sep-19 to Feb-20,65+,0
2257,aguiar da beira,Sep-19 to Feb-20,65+,0
2258,alandroal,Sep-19 to Feb-20,65+,0
2259,albergaria-a-velha,Sep-19 to Feb-20,65+,0
2260,albufeira,Sep-19 to Feb-20,65+,0
2261,alcanena,Sep-19 to Feb-20,65+,0
2262,alcobaça,Sep-19 to Feb-20,65+,0
2263,alcochete,Sep-19 to Feb-20,65+,0
2264,alcoutim,Sep-19 to Feb-20,65+,0
2265,alcácer do sal,Sep-19 to Feb-20,65+,0
2266,alenquer,Sep-19 to Feb-20,65+,0
2267,alentejo,Sep-19 to Feb-20,65+,0
2268,alfândega da fé,Sep-19 to Feb-20,65+,0
2269,alijó,Sep-19 to Feb-20,65+,0
2270,aljezur,Sep-19 to Feb-20,65+,0
2271,aljustrel,Sep-19 to Feb-20,65+,0
2272,almada,Sep-19 to Feb-20,65+,0
2273,almeida,Sep-19 to Feb-20,65+,0
2274,almeirim,Sep-19 to Feb-20,65+,0
2275,almodôvar,Sep-19 to Feb-20,65+,0
2276,alpiarça,Sep-19 to Feb-20,65+,0
2277,alter do chão,Sep-19 to Feb-20,65+,0
2278,alvaiázere,Sep-19 to Feb-20,65+,0
2279,alvito,Sep-19 to Feb-20,65+,0
2280,amadora,Sep-19 to Feb-20,65+,0
2281,amarante,Sep-19 to Feb-20,65+,0
2282,amares,Sep-19 to Feb-20,65+,0
2283,anadia,Sep-19 to Feb-20,65+,0
2284,ansião,Sep-19 to Feb-20,65+,0
2285,arcos de valdevez,Sep-19 to Feb-20,65+,0
2286,arganil,Sep-19 to Feb-20,65+,0
2287,armamar,Sep-19 to Feb-20,65+,0
2288,arouca,Sep-19 to Feb-20,65+,0
2289,arraiolos,Sep-19 to Feb-20,65+,0
2290,arronches,Sep-19 to Feb-20,65+,0
2291,arruda dos vinhos,Sep-19 to Feb-20,65+,0
2292,aveiro,Sep-19 to Feb-20,65+,0
2293,avis,Sep-19 to Feb-20,65+,0
2294,azambuja,Sep-19 to Feb-20,65+,0
2295,baião,Sep-19 to Feb-20,65+,0
2296,barcelos,Sep-19 to Feb-20,65+,0
2297,barrancos,Sep-19 to Feb-20,65+,0
2298,barreiro,Sep-19 to Feb-20,65+,0
2299,batalha,Sep-19 to Feb-20,65+,0
2300,beja,Sep-19 to Feb-20,65+,0
2301,belmonte,Sep-19 to Feb-20,65+,0
2302,benavente,Sep-19 to Feb-20,65+,0
2303,bombarral,Sep-19 to Feb-20,65+,0
2304,borba,Sep-19 to Feb-20,65+,0
2305,boticas,Sep-19 to Feb-20,65+,0
2306,braga,Sep-19 to Feb-20,65+,0
2307,bragança,Sep-19 to Feb-20,65+,0
2308,cabeceiras de basto,Sep-19 to Feb-20,65+,0
2309,cadaval,Sep-19 to Feb-20,65+,0
2310,caldas da rainha,Sep-19 to Feb-20,65+,0
2311,caminha,Sep-19 to Feb-20,65+,0
2312,campo maior,Sep-19 to Feb-20,65+,0
2313,cantanhede,Sep-19 to Feb-20,65+,0
2314,carrazeda de ansiães,Sep-19 to Feb-20,65+,0
2315,carregal do sal,Sep-19 to Feb-20,65+,0
2316,cartaxo,Sep-19 to Feb-20,65+,0
2317,cascais,Sep-19 to Feb-20,65+,0
2318,castanheira de pera,Sep-19 to Feb-20,65+,0
2319,castelo branco,Sep-19 to Feb-20,65+,0
2320,castelo de paiva,Sep-19 to Feb-20,65+,0
2321,castelo de vide,Sep-19 to Feb-20,65+,0
2322,castro daire,Sep-19 to Feb-20,65+,0
2323,castro marim,Sep-19 to Feb-20,65+,0
2324,castro verde,Sep-19 to Feb-20,65+,0
2325,celorico da beira,Sep-19 to Feb-20,65+,0
2326,celorico de basto,Sep-19 to Feb-20,65+,0
2327,centro,Sep-19 to Feb-20,65+,0
2328,chamusca,Sep-19 to Feb-20,65+,0
2329,chaves,Sep-19 to Feb-20,65+,0
2330,cinfães,Sep-19 to Feb-20,65+,0
2331,coimbra,Sep-19 to Feb-20,65+,0
2332,condeixa-a-nova,Sep-19 to Feb-20,65+,0
2333,constância,Sep-19 to Feb-20,65+,0
2334,coruche,Sep-19 to Feb-20,65+,0
2335,covilhã,Sep-19 to Feb-20,65+,0
2336,crato,Sep-19 to Feb-20,65+,0
2337,cuba,Sep-19 to Feb-20,65+,0
2338,elvas,Sep-19 to Feb-20,65+,0
2339,entroncamento,Sep-19 to Feb-20,65+,0
2340,espinho,Sep-19 to Feb-20,65+,0
2341,esposende,Sep-19 to Feb-20,65+,0
2342,estarreja,Sep-19 to Feb-20,65+,0
2343,estremoz,Sep-19 to Feb-20,65+,0
2344,fafe,Sep-19 to Feb-20,65+,0
2345,faro,Sep-19 to Feb-20,65+,0
2346,felgueiras,Sep-19 to Feb-20,65+,0
2347,ferreira do alentejo,Sep-19 to Feb-20,65+,0
2348,ferreira do zêzere,Sep-19 to Feb-20,65+,0
2349,figueira da foz,Sep-19 to Feb-20,65+,0
2350,figueira de castelo rodrigo,Sep-19 to Feb-20,65+,0
2351,figueiró dos vinhos,Sep-19 to Feb-20,65+,0
2352,fornos de algodres,Sep-19 to Feb-20,65+,0
2353,freixo espada à cinta,Sep-19 to Feb-20,65+,0
2354,fronteira,Sep-19 to Feb-20,65+,0
2355,fundão,Sep-19 to Feb-20,65+,0
2356,gavião,Sep-19 to Feb-20,65+,0
2357,golegã,Sep-19 to Feb-20,65+,0
2358,gondomar,Sep-19 to Feb-20,65+,0
2359,gouveia,Sep-19 to Feb-20,65+,0
2360,grândola,Sep-19 to Feb-20,65+,0
2361,guarda,Sep-19 to Feb-20,65+,0
2362,guimarães,Sep-19 to Feb-20,65+,0
2363,góis,Sep-19 to Feb-20,65+,0
2364,idanha-a-nova,Sep-19 to Feb-20,65+,0
2365,lagoa,Sep-19 to Feb-20,65+,0
2366,lagos,Sep-19 to Feb-20,65+,0
2367,lamego,Sep-19 to Feb-20,65+,0
2368,leiria,Sep-19 to Feb-20,65+,0
2369,lisboa,Sep-19 to Feb-20,65+,0
2370,lisboa vt,Sep-19 to Feb-20,65+,0
2371,loulé,Sep-19 to Feb-20,65+,0
2372,loures,Sep-19 to Feb-20,65+,0
2373,lourinhã,Sep-19 to Feb-20,65+,0
2374,lousada,Sep-19 to Feb-20,65+,0
2375,lousã,Sep-19 to Feb-20,65+,0
2376,macedo de cavaleiros,Sep-19 to Feb-20,65+,0
2377,mafra,Sep-19 to Feb-20,65+,0
2378,maia,Sep-19 to Feb-20,65+,0
2379,mangualde,Sep-19 to Feb-20,65+,0
2380,manteigas,Sep-19 to Feb-20,65+,0
2381,marco de canaveses,Sep-19 to Feb-20,65+,0
2382,marinha grande,Sep-19 to Feb-20,65+,0
2383,marvão,Sep-19 to Feb-20,65+,0
2384,matosinhos,Sep-19 to Feb-20,65+,0
2385,mação,Sep-19 to Feb-20,65+,0
2386,mealhada,Sep-19 to Feb-20,65+,0
2387,meda,Sep-19 to Feb-20,65+,0
2388,melgaço,Sep-19 to Feb-20,65+,0
2389,mesão frio,Sep-19 to Feb-20,65+,0
2390,mira,Sep-19 to Feb-20,65+,0
2391,miranda do corvo,Sep-19 to Feb-20,65+,0
2392,miranda do douro,Sep-19 to Feb-20,65+,0
2393,mirandela,Sep-19 to Feb-20,65+,0
2394,mogadouro,Sep-19 to Feb-20,65+,0
2395,moimenta da beira,Sep-19 to Feb-20,65+,0
2396,moita,Sep-19 to Feb-20,65+,0
2397,monchique,Sep-19 to Feb-20,65+,0
2398,mondim de basto,Sep-19 to Feb-20,65+,0
2399,monforte,Sep-19 to Feb-20,65+,0
2400,montalegre,Sep-19 to Feb-20,65+,0
2401,montemor-o-novo,Sep-19 to Feb-20,65+,0
2402,montemor-o-velho,Sep-19 to Feb-20,65+,0
2403,montijo,Sep-19 to Feb-20,65+,0
2404,monção,Sep-19 to Feb-20,65+,0
2405,mora,Sep-19 to Feb-20,65+,0
2406,mortágua,Sep-19 to Feb-20,65+,0
2407,moura,Sep-19 to Feb-20,65+,0
2408,mourão,Sep-19 to Feb-20,65+,0
2409,murtosa,Sep-19 to Feb-20,65+,0
2410,murça,Sep-19 to Feb-20,65+,0
2411,mértola,Sep-19 to Feb-20,65+,0
2412,nazaré,Sep-19 to Feb-20,65+,0
2413,nelas,Sep-19 to Feb-20,65+,0
2414,nisa,Sep-19 to Feb-20,65+,0
2415,norte,Sep-19 to Feb-20,65+,0
2416,odemira,Sep-19 to Feb-20,65+,0
2417,odivelas,Sep-19 to Feb-20,65+,0
2418,oeiras,Sep-19 to Feb-20,65+,0
2419,oleiros,Sep-19 to Feb-20,65+,0
2420,olhão,Sep-19 to Feb-20,65+,0
2421,oliveira de azeméis,Sep-19 to Feb-20,65+,0
2422,oliveira de frades,Sep-19 to Feb-20,65+,0
2423,oliveira do bairro,Sep-19 to Feb-20,65+,0
2424,oliveira do hospital,Sep-19 to Feb-20,65+,0
2425,ourique,Sep-19 to Feb-20,65+,0
2426,ourém,Sep-19 to Feb-20,65+,0
2427,ovar,Sep-19 to Feb-20,65+,0
2428,palmela,Sep-19 to Feb-20,65+,0
2429,pampilhosa da serra,Sep-19 to Feb-20,65+,0
2430,paredes,Sep-19 to Feb-20,65+,0
2431,paredes de coura,Sep-19 to Feb-20,65+,0
2432,paços de ferreira,Sep-19 to Feb-20,65+,0
2433,pedrógão grande,Sep-19 to Feb-20,65+,0
2434,penacova,Sep-19 to Feb-20,65+,0
2435,penafiel,Sep-19 to Feb-20,65+,0
2436,penalva do castelo,Sep-19 to Feb-20,65+,0
2437,penamacor,Sep-19 to Feb-20,65+,0
2438,penedono,Sep-19 to Feb-20,65+,0
2439,penela,Sep-19 to Feb-20,65+,0
2440,peniche,Sep-19 to Feb-20,65+,0
2441,peso da régua,Sep-19 to Feb-20,65+,0
2442,pinhel,Sep-19 to Feb-20,65+,0
2443,pombal,Sep-19 to Feb-20,65+,0
2444,ponte da barca,Sep-19 to Feb-20,65+,0
2445,ponte de lima,Sep-19 to Feb-20,65+,0
2446,ponte de sôr,Sep-19 to Feb-20,65+,0
2447,portalegre,Sep-19 to Feb-20,65+,0
2448,portel,Sep-19 to Feb-20,65+,0
2449,portimão,Sep-19 to Feb-20,65+,0
2450,porto,Sep-19 to Feb-20,65+,0
2451,porto de mós,Sep-19 to Feb-20,65+,0
2452,proença-a-nova,Sep-19 to Feb-20,65+,0
2453,póvoa de lanhoso,Sep-19 to Feb-20,65+,0
2454,póvoa de varzim,Sep-19 to Feb-20,65+,0
2455,redondo,Sep-19 to Feb-20,65+,0
2456,reguengos de monsaraz,Sep-19 to Feb-20,65+,0
2457,resende,Sep-19 to Feb-20,65+,0
2458,ribeira de pena,Sep-19 to Feb-20,65+,0
2459,rio maior,Sep-19 to Feb-20,65+,0
2460,sabrosa,Sep-19 to Feb-20,65+,0
2461,sabugal,Sep-19 to Feb-20,65+,0
2462,salvaterra de magos,Sep-19 to Feb-20,65+,0
2463,santa comba dão,Sep-19 to Feb-20,65+,0
2464,santa maria da feira,Sep-19 to Feb-20,65+,0
2465,santa marta de penaguião,Sep-19 to Feb-20,65+,0
2466,santarém,Sep-19 to Feb-20,65+,0
2467,santiago do cacém,Sep-19 to Feb-20,65+,0
2468,santo tirso,Sep-19 to Feb-20,65+,0
2469,sardoal,Sep-19 to Feb-20,65+,0
2470,seia,Sep-19 to Feb-20,65+,0
2471,seixal,Sep-19 to Feb-20,65+,0
2472,sernancelhe,Sep-19 to Feb-20,65+,0
2473,serpa,Sep-19 to Feb-20,65+,0
2474,sertã,Sep-19 to Feb-20,65+,0
2475,sesimbra,Sep-19 to Feb-20,65+,0
2476,setúbal,Sep-19 to Feb-20,65+,0
2477,sever do vouga,Sep-19 to Feb-20,65+,0
2478,silves,Sep-19 to Feb-20,65+,0
2479,sines,Sep-19 to Feb-20,65+,0
2480,sintra,Sep-19 to Feb-20,65+,0
2481,sobral monte agraço,Sep-19 to Feb-20,65+,0
2482,soure,Sep-19 to Feb-20,65+,0
2483,sousel,Sep-19 to Feb-20,65+,0
2484,sátão,Sep-19 to Feb-20,65+,0
2485,são brás de alportel,Sep-19 to Feb-20,65+,0
2486,são joão da madeira,Sep-19 to Feb-20,65+,0
2487,são joão da pesqueira,Sep-19 to Feb-20,65+,0
2488,são pedro do sul,Sep-19 to Feb-20,65+,0
2489,tabuaço,Sep-19 to Feb-20,65+,0
2490,tarouca,Sep-19 to Feb-20,65+,0
2491,tavira,Sep-19 to Feb-20,65+,0
2492,terras de bouro,Sep-19 to Feb-20,65+,0
2493,tomar,Sep-19 to Feb-20,65+,0
2494,tondela,Sep-19 to Feb-20,65+,0
2495,torre de moncorvo,Sep-19 to Feb-20,65+,0
2496,torres novas,Sep-19 to Feb-20,65+,0
2497,torres vedras,Sep-19 to Feb-20,65+,0
2498,trancoso,Sep-19 to Feb-20,65+,0
2499,trofa,Sep-19 to Feb-20,65+,0
2500,tábua,Sep-19 to Feb-20,65+,0
2501,vagos,Sep-19 to Feb-20,65+,0
2502,vale de cambra,Sep-19 to Feb-20,65+,0
2503,valença,Sep-19 to Feb-20,65+,0
2504,valongo,Sep-19 to Feb-20,65+,0
2505,valpaços,Sep-19 to Feb-20,65+,0
2506,vendas novas,Sep-19 to Feb-20,65+,0
2507,viana do alentejo,Sep-19 to Feb-20,65+,0
2508,viana do castelo,Sep-19 to Feb-20,65+,0
2509,vidigueira,Sep-19 to Feb-20,65+,0
2510,vieira do minho,Sep-19 to Feb-20,65+,0
2511,vila de rei,Sep-19 to Feb-20,65+,0
2512,vila do bispo,Sep-19 to Feb-20,65+,0
2513,vila do conde,Sep-19 to Feb-20,65+,0
2514,vila flor,Sep-19 to Feb-20,65+,0
2515,vila franca de xira,Sep-19 to Feb-20,65+,0
2516,vila nova da barquinha,Sep-19 to Feb-20,65+,0
2517,vila nova de cerveira,Sep-19 to Feb-20,65+,0
2518,vila nova de famalicão,Sep-19 to Feb-20,65+,0
2519,vila nova de foz côa,Sep-19 to Feb-20,65+,0
2520,vila nova de gaia,Sep-19 to Feb-20,65+,0
2521,vila nova de paiva,Sep-19 to Feb-20,65+,0
2522,vila nova de poiares,Sep-19 to Feb-20,65+,0
2523,vila pouca de aguiar,Sep-19 to Feb-20,65+,0
2524,vila real,Sep-19 to Feb-20,65+,0
2525,vila real de santo antónio,Sep-19 to Feb-20,65+,0
2526,vila velha de rodão,Sep-19 to Feb-20,65+,0
2527,vila verde,Sep-19 to Feb-20,65+,0
2528,vila viçosa,Sep-19 to Feb-20,65+,0
2529,vimioso,Sep-19 to Feb-20,65+,0
2530,vinhais,Sep-19 to Feb-20,65+,0
2531,viseu,Sep-19 to Feb-20,65+,0
2532,vizela,Sep-19 to Feb-20,65+,0
2533,vouzela,Sep-19 to Feb-20,65+,0
2534,águeda,Sep-19 to Feb-20,65+,0
2535,évora,Sep-19 to Feb-20,65+,0
2536,ílhavo,Sep-19 to Feb-20,65+,0
2537,óbidos,Sep-19 to Feb-20,65+,0
2538,abrantes,Sep-20 to Jan-21,65+,0
2539,aguiar da beira,Sep-20 to Jan-21,65+,0
2540,alandroal,Sep-20 to Jan-21,65+,0
2541,albergaria-a-velha,Sep-20 to Jan-21,65+,0
2542,albufeira,Sep-20 to Jan-21,65+,0
2543,alcanena,Sep-20 to Jan-21,65+,0
2544,alcobaça,Sep-20 to Jan-21,65+,0
2545,alcochete,Sep-20 to Jan-21,65+,0
2546,alcoutim,Sep-20 to Jan-21,65+,0
2547,alcácer do sal,Sep-20 to Jan-21,65+,0
2548,alenquer,Sep-20 to Jan-21,65+,0
2549,alentejo,Sep-20 to Jan-21,65+,0
2550,alfândega da fé,Sep-20 to Jan-21,65+,0
2551,alijó,Sep-20 to Jan-21,65+,0
2552,aljezur,Sep-20 to Jan-21,65+,0
2553,aljustrel,Sep-20 to Jan-21,65+,0
2554,almada,Sep-20 to Jan-21,65+,0
2555,almeida,Sep-20 to Jan-21,65+,0
2556,almeirim,Sep-20 to Jan-21,65+,0
2557,almodôvar,Sep-20 to Jan-21,65+,0
2558,alpiarça,Sep-20 to Jan-21,65+,0
2559,alter do chão,Sep-20 to Jan-21,65+,0
2560,alvaiázere,Sep-20 to Jan-21,65+,0
2561,alvito,Sep-20 to Jan-21,65+,0
2562,amadora,Sep-20 to Jan-21,65+,0
2563,amarante,Sep-20 to Jan-21,65+,0
2564,amares,Sep-20 to Jan-21,65+,0
2565,anadia,Sep-20 to Jan-21,65+,0
2566,ansião,Sep-20 to Jan-21,65+,0
2567,arcos de valdevez,Sep-20 to Jan-21,65+,0
2568,arganil,Sep-20 to Jan-21,65+,0
2569,armamar,Sep-20 to Jan-21,65+,0
2570,arouca,Sep-20 to Jan-21,65+,0
2571,arraiolos,Sep-20 to Jan-21,65+,0
2572,arronches,Sep-20 to Jan-21,65+,0
2573,arruda dos vinhos,Sep-20 to Jan-21,65+,0
2574,aveiro,Sep-20 to Jan-21,65+,0
2575,avis,Sep-20 to Jan-21,65+,0
2576,azambuja,Sep-20 to Jan-21,65+,0
2577,baião,Sep-20 to Jan-21,65+,0
2578,barcelos,Sep-20 to Jan-21,65+,0
2579,barrancos,Sep-20 to Jan-21,65+,0
2580,barreiro,Sep-20 to Jan-21,65+,0
2581,batalha,Sep-20 to Jan-21,65+,0
2582,beja,Sep-20 to Jan-21,65+,0
2583,belmonte,Sep-20 to Jan-21,65+,0
2584,benavente,Sep-20 to Jan-21,65+,0
2585,bombarral,Sep-20 to Jan-21,65+,0
2586,borba,Sep-20 to Jan-21,65+,0
2587,boticas,Sep-20 to Jan-21,65+,0
2588,braga,Sep-20 to Jan-21,65+,0
2589,bragança,Sep-20 to Jan-21,65+,0
2590,cabeceiras de basto,Sep-20 to Jan-21,65+,0
2591,cadaval,Sep-20 to Jan-21,65+,0
2592,caldas da rainha,Sep-20 to Jan-21,65+,0
2593,caminha,Sep-20 to Jan-21,65+,0
2594,campo maior,Sep-20 to Jan-21,65+,0
2595,cantanhede,Sep-20 to Jan-21,65+,0
2596,carrazeda de ansiães,Sep-20 to Jan-21,65+,0
2597,carregal do sal,Sep-20 to Jan-21,65+,0
2598,cartaxo,Sep-20 to Jan-21,65+,0
2599,cascais,Sep-20 to Jan-21,65+,0
2600,castanheira de pera,Sep-20 to Jan-21,65+,0
2601,castelo branco,Sep-20 to Jan-21,65+,0
2602,castelo de paiva,Sep-20 to Jan-21,65+,0
2603,castelo de vide,Sep-20 to Jan-21,65+,0
2604,castro daire,Sep-20 to Jan-21,65+,0
2605,castro marim,Sep-20 to Jan-21,65+,0
2606,castro verde,Sep-20 to Jan-21,65+,0
2607,celorico da beira,Sep-20 to Jan-21,65+,0
2608,celorico de basto,Sep-20 to Jan-21,65+,0
2609,centro,Sep-20 to Jan-21,65+,0
2610,chamusca,Sep-20 to Jan-21,65+,0
2611,chaves,Sep-20 to Jan-21,65+,0
2612,cinfães,Sep-20 to Jan-21,65+,0
2613,coimbra,Sep-20 to Jan-21,65+,0
2614,condeixa-a-nova,Sep-20 to Jan-21,65+,0
2615,constância,Sep-20 to Jan-21,65+,0
2616,coruche,Sep-20 to Jan-21,65+,0
2617,covilhã,Sep-20 to Jan-21,65+,0
2618,crato,Sep-20 to Jan-21,65+,0
2619,cuba,Sep-20 to Jan-21,65+,0
2620,elvas,Sep-20 to Jan-21,65+,0
2621,entroncamento,Sep-20 to Jan-21,65+,0
2622,espinho,Sep-20 to Jan-21,65+,0
2623,esposende,Sep-20 to Jan-21,65+,0
2624,estarreja,Sep-20 to Jan-21,65+,0
2625,estremoz,Sep-20 to Jan-21,65+,0
2626,fafe,Sep-20 to Jan-21,65+,0
2627,faro,Sep-20 to Jan-21,65+,0
2628,felgueiras,Sep-20 to Jan-21,65+,0
2629,ferreira do alentejo,Sep-20 to Jan-21,65+,0
2630,ferreira do zêzere,Sep-20 to Jan-21,65+,0
2631,figueira da foz,Sep-20 to Jan-21,65+,0
2632,figueira de castelo rodrigo,Sep-20 to Jan-21,65+,0
2633,figueiró dos vinhos,Sep-20 to Jan-21,65+,0
2634,fornos de algodres,Sep-20 to Jan-21,65+,0
2635,freixo espada à cinta,Sep-20 to Jan-21,65+,0
2636,fronteira,Sep-20 to Jan-21,65+,0
2637,fundão,Sep-20 to Jan-21,65+,0
2638,gavião,Sep-20 to Jan-21,65+,0
2639,golegã,Sep-20 to Jan-21,65+,0
2640,gondomar,Sep-20 to Jan-21,65+,0
2641,gouveia,Sep-20 to Jan-21,65+,0
2642,grândola,Sep-20 to Jan-21,65+,0
2643,guarda,Sep-20 to Jan-21,65+,0
2644,guimarães,Sep-20 to Jan-21,65+,0
2645,góis,Sep-20 to Jan-21,65+,0
2646,idanha-a-nova,Sep-20 to Jan-21,65+,0
2647,lagoa,Sep-20 to Jan-21,65+,0
2648,lagos,Sep-20 to Jan-21,65+,0
2649,lamego,Sep-20 to Jan-21,65+,0
2650,leiria,Sep-20 to Jan-21,65+,0
2651,lisboa,Sep-20 to Jan-21,65+,0
2652,lisboa vt,Sep-20 to Jan-21,65+,0
2653,loulé,Sep-20 to Jan-21,65+,0
2654,loures,Sep-20 to Jan-21,65+,0
2655,lourinhã,Sep-20 to Jan-21,65+,0
2656,lousada,Sep-20 to Jan-21,65+,0
2657,lousã,Sep-20 to Jan-21,65+,0
2658,macedo de cavaleiros,Sep-20 to Jan-21,65+,0
2659,mafra,Sep-20 to Jan-21,65+,0
2660,maia,Sep-20 to Jan-21,65+,0
2661,mangualde,Sep-20 to Jan-21,65+,0
2662,manteigas,Sep-20 to Jan-21,65+,0
2663,marco de canaveses,Sep-20 to Jan-21,65+,0
2664,marinha grande,Sep-20 to Jan-21,65+,0
2665,marvão,Sep-20 to Jan-21,65+,0
2666,matosinhos,Sep-20 to Jan-21,65+,0
2667,mação,Sep-20 to Jan-21,65+,0
2668,mealhada,Sep-20 to Jan-21,65+,0
2669,meda,Sep-20 to Jan-21,65+,0
2670,melgaço,Sep-20 to Jan-21,65+,0
2671,mesão frio,Sep-20 to Jan-21,65+,0
2672,mira,Sep-20 to Jan-21,65+,0
2673,miranda do corvo,Sep-20 to Jan-21,65+,0
2674,miranda do douro,Sep-20 to Jan-21,65+,0
2675,mirandela,Sep-20 to Jan-21,65+,0
2676,mogadouro,Sep-20 to Jan-21,65+,0
2677,moimenta da beira,Sep-20 to Jan-21,65+,0
2678,moita,Sep-20 to Jan-21,65+,0
2679,monchique,Sep-20 to Jan-21,65+,0
2680,mondim de basto,Sep-20 to Jan-21,65+,0
2681,monforte,Sep-20 to Jan-21,65+,0
2682,montalegre,Sep-20 to Jan-21,65+,0
2683,montemor-o-novo,Sep-20 to Jan-21,65+,0
2684,montemor-o-velho,Sep-20 to Jan-21,65+,0
2685,montijo,Sep-20 to Jan-21,65+,0
2686,monção,Sep-20 to Jan-21,65+,0
2687,mora,Sep-20 to Jan-21,65+,0
2688,mortágua,Sep-20 to Jan-21,65+,0
2689,moura,Sep-20 to Jan-21,65+,0
2690,mourão,Sep-20 to Jan-21,65+,0
2691,murtosa,Sep-20 to Jan-21,65+,0
2692,murça,Sep-20 to Jan-21,65+,0
2693,mértola,Sep-20 to Jan-21,65+,0
2694,nazaré,Sep-20 to Jan-21,65+,0
2695,nelas,Sep-20 to Jan-21,65+,0
2696,nisa,Sep-20 to Jan-21,65+,0
2697,norte,Sep-20 to Jan-21,65+,0
2698,odemira,Sep-20 to Jan-21,65+,0
2699,odivelas,Sep-20 to Jan-21,65+,0
2700,oeiras,Sep-20 to Jan-21,65+,0
2701,oleiros,Sep-20 to Jan-21,65+,0
2702,olhão,Sep-20 to Jan-21,65+,0
2703,oliveira de azeméis,Sep-20 to Jan-21,65+,0
2704,oliveira de frades,Sep-20 to Jan-21,65+,0
2705,oliveira do bairro,Sep-20 to Jan-21,65+,0
2706,oliveira do hospital,Sep-20 to Jan-21,65+,0
2707,ourique,Sep-20 to Jan-21,65+,0
2708,ourém,Sep-20 to Jan-21,65+,0
2709,ovar,Sep-20 to Jan-21,65+,0
2710,palmela,Sep-20 to Jan-21,65+,0
2711,pampilhosa da serra,Sep-20 to Jan-21,65+,0
2712,paredes,Sep-20 to Jan-21,65+,0
2713,paredes de coura,Sep-20 to Jan-21,65+,0
2714,paços de ferreira,Sep-20 to Jan-21,65+,0
2715,pedrógão grande,Sep-20 to Jan-21,65+,0
2716,penacova,Sep-20 to Jan-21,65+,0
2717,penafiel,Sep-20 to Jan-21,65+,0
2718,penalva do castelo,Sep-20 to Jan-21,65+,0
2719,penamacor,Sep-20 to Jan-21,65+,0
2720,penedono,Sep-20 to Jan-21,65+,0
2721,penela,Sep-20 to Jan-21,65+,0
2722,peniche,Sep-20 to Jan-21,65+,0
2723,peso da régua,Sep-20 to Jan-21,65+,0
2724,pinhel,Sep-20 to Jan-21,65+,0
2725,pombal,Sep-20 to Jan-21,65+,0
2726,ponte da barca,Sep-20 to Jan-21,65+,0
2727,ponte de lima,Sep-20 to Jan-21,65+,0
2728,ponte de sôr,Sep-20 to Jan-21,65+,0
2729,portalegre,Sep-20 to Jan-21,65+,0
2730,portel,Sep-20 to Jan-21,65+,0
2731,portimão,Sep-20 to Jan-21,65+,0
2732,porto,Sep-20 to Jan-21,65+,0
2733,porto de mós,Sep-20 to Jan-21,65+,0
2734,proença-a-nova,Sep-20 to Jan-21,65+,0
2735,póvoa de lanhoso,Sep-20 to Jan-21,65+,0
2736,póvoa de varzim,Sep-20 to Jan-21,65+,0
2737,redondo,Sep-20 to Jan-21,65+,0
2738,reguengos de monsaraz,Sep-20 to Jan-21,65+,0
2739,resende,Sep-20 to Jan-21,65+,0
2740,ribeira de pena,Sep-20 to Jan-21,65+,0
2741,rio maior,Sep-20 to Jan-21,65+,0
2742,sabrosa,Sep-20 to Jan-21,65+,0
2743,sabugal,Sep-20 to Jan-21,65+,0
2744,salvaterra de magos,Sep-20 to Jan-21,65+,0
2745,santa comba dão,Sep-20 to Jan-21,65+,0
2746,santa maria da feira,Sep-20 to Jan-21,65+,0
